type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,64:A8:6E:EF:59:27,-72,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,447107,0,94,65,0,0.911593,256,[94 -32 5 65 -15 -22 -14 -19 -14 -22 -14 -20 -14 -22 -16 -22 -15 -22 -19 -20 -17 -20 -17 -20 -15 -21 -18 -20 -17 -22 -17 -22 -14 -22 -15 -21 -15 -22 -16 -19 -13 -23 -14 -21 -13 -22 -11 -23 -13 -23 -12 -21 -10 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -15 -8 -15 -7 -16 -5 -17 -15 -21 -8 -17 -6 -19 -4 -17 -7 -18 -8 -19 -6 -18 -4 -20 -6 -19 -8 -18 -6 -20 -7 -20 -8 -20 -10 -20 -8 -21 -10 -21 -12 -20 -11 -20 -12 -22 -12 -21 -12 -23 -11 -22 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,448704,0,94,0,0,0.959332,256,[94 -32 5 0 9 -22 8 -22 8 -23 11 -25 9 -22 8 -22 9 -23 7 -25 9 -26 9 -25 6 -25 8 -26 10 -23 7 -27 8 -26 10 -25 8 -22 11 -25 12 -23 10 -21 11 -23 12 -21 10 -22 13 -21 13 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -15 7 -14 7 -15 7 -13 10 -13 10 -16 10 -16 10 -14 11 -16 11 -16 10 -16 11 -17 11 -17 11 -17 11 -18 10 -16 11 -19 14 -20 9 -20 10 -17 12 -20 10 -21 11 -21 11 -18 12 -22 10 -24 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-72,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,484707,0,94,65,0,1.00246,256,[94 -32 5 65 -2 -26 -4 -26 -2 -26 -3 -24 -4 -23 -5 -25 -5 -27 -3 -24 -4 -25 -4 -24 -6 -28 -6 -26 -5 -28 -5 -27 -4 -28 -3 -26 -5 -28 -2 -26 -2 -25 -4 -24 -1 -25 0 -25 0 -25 1 -24 2 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -17 0 -17 1 -17 0 -19 -4 -27 2 -17 2 -19 1 -18 2 -19 3 -19 4 -19 4 -19 1 -21 2 -21 1 -20 2 -20 2 -22 2 -22 0 -21 -1 -23 -2 -21 -2 -22 -2 -24 1 -22 0 -25 -1 -25 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-72,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,527809,0,94,65,0,1.04512,256,[94 -32 5 65 -21 -10 -24 -11 -24 -14 -23 -13 -22 -12 -23 -13 -24 -11 -23 -13 -22 -12 -25 -11 -24 -12 -23 -10 -24 -11 -22 -13 -24 -12 -22 -13 -22 -13 -24 -12 -22 -13 -22 -13 -20 -12 -22 -13 -20 -15 -20 -15 -19 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 -6 -14 -8 -15 -8 -17 -8 -11 0 -14 -9 -15 -12 -16 -10 -16 -11 -15 -13 -15 -13 -18 -14 -16 -12 -18 -12 -16 -13 -17 -12 -16 -12 -19 -12 -20 -12 -21 -12 -19 -12 -20 -11 -20 -12 -21 -11 -23 -11 -23 -12 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-72,11,1,5,0,1,1,1,0,0,1,-96,0,8,0,572692,0,94,0,0,1.0937,256,[94 -32 5 0 -11 -24 -10 -20 -13 -23 -12 -23 -12 -24 -14 -22 -12 -21 -13 -21 -12 -22 -14 -22 -13 -23 -16 -23 -15 -22 -16 -21 -14 -24 -14 -23 -13 -23 -14 -22 -13 -24 -11 -23 -11 -24 -9 -24 -11 -21 -7 -23 -8 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -14 -8 -15 -8 -17 -9 -18 -15 -19 -8 -17 -4 -19 -7 -17 -6 -20 -7 -20 -6 -21 -6 -21 -8 -21 -7 -22 -6 -19 -8 -22 -7 -21 -8 -21 -9 -20 -10 -20 -8 -21 -12 -21 -11 -22 -11 -22 -11 -21 -11 -20 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,5,0,1,1,1,0,0,1,-96,0,8,0,663214,0,94,0,0,1.1408,256,[94 -32 5 0 -17 21 -16 21 -18 19 -16 21 -16 19 -17 20 -16 18 -15 19 -16 20 -16 22 -14 22 -15 20 -15 22 -15 20 -15 21 -16 21 -16 19 -17 19 -17 19 -17 18 -17 18 -16 18 -18 18 -18 17 -17 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 13 -12 13 -12 12 -13 11 -14 13 -13 14 -14 12 -14 13 -15 13 -17 13 -14 13 -18 12 -17 12 -16 13 -17 14 -17 13 -18 15 -16 14 -16 15 -17 14 -16 17 -17 18 -16 17 -16 18 -17 18 -17 19 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,5,0,1,1,1,0,0,1,-96,0,8,0,663390,0,94,0,0,1.18533,256,[94 -32 5 0 -27 -4 -26 -4 -26 -4 -26 -4 -26 -6 -27 -3 -24 -3 -27 -3 -27 -2 -28 -2 -27 -1 -28 -2 -27 -3 -26 -4 -27 -2 -25 -4 -28 -6 -25 -5 -25 -6 -26 -5 -23 -5 -25 -4 -24 -6 -25 -7 -24 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -2 -20 -3 -16 -2 -17 -2 -20 -3 -19 -6 -20 -3 -20 -4 -18 -6 -19 -4 -20 -5 -21 -4 -20 -6 -21 -4 -22 -7 -23 -4 -23 -5 -23 -6 -21 -6 -23 -5 -23 -4 -24 -5 -25 -2 -26 -5 -24 -4 -26 -3 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,5,0,1,1,1,0,0,1,-96,0,8,0,705791,0,94,0,0,1.22991,256,[94 -32 5 0 -25 -10 -21 -10 -22 -10 -24 -11 -22 -9 -24 -8 -22 -9 -21 -8 -22 -8 -22 -8 -24 -8 -22 -8 -22 -7 -24 -8 -24 -9 -22 -8 -22 -8 -23 -9 -21 -9 -21 -10 -21 -8 -19 -10 -19 -10 -20 -12 -19 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 -6 -14 -8 -15 -8 -17 -7 -16 -6 -16 -8 -14 -12 -16 -10 -16 -12 -18 -12 -17 -11 -17 -12 -17 -12 -17 -12 -17 -11 -18 -12 -17 -11 -19 -12 -19 -11 -19 -11 -19 -10 -18 -10 -21 -10 -20 -10 -21 -11 -22 -12 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,5,0,1,1,1,0,0,1,-96,0,8,0,705958,0,94,0,0,1.27706,256,[94 -32 5 0 23 -4 22 -2 24 -1 23 -1 23 -2 23 -3 22 -3 22 -3 23 -3 24 -4 22 -3 23 -5 24 -4 22 -4 24 -4 23 -3 23 0 21 -2 22 0 21 0 20 -1 22 1 19 0 21 0 21 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 -2 18 -2 16 -2 17 -1 10 1 14 0 19 0 20 1 17 0 20 1 19 0 19 0 18 0 18 1 20 2 19 0 20 -1 21 0 21 0 19 1 23 -1 21 -2 22 -2 21 -1 21 -4 24 -2 ]
CSI_DATA,PASSIVE,BB:B0:70:5C:00:8A,-92,12,0,0,0,0,0,0,0,0,0,-96,0,8,0,910706,0,3322,65,0,1.31547,128,[-6 -84 -49 65 -3 2 0 -5 6 0 -3 -4 3 -4 -1 3 -6 -6 -1 -3 5 -1 -6 2 7 -6 0 0 -1 -3 -3 -4 3 0 -2 -1 6 2 -4 -1 -7 0 3 3 -1 -4 3 -7 -3 5 -3 -8 2 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -5 -5 0 -3 2 -1 -5 1 -4 4 0 4 -1 1 -1 -1 -6 -4 -2 -6 3 0 -2 -5 -9 -8 3 -32 31 -3 2 -5 4 1 0 6 0 5 4 -1 5 7 -1 -4 1 2 -11 -2 9 -2 6 ]
